,TARGET-30-PAMZGT-01,TARGET-30-PANGXK-01,TARGET-30-PAPTCR-01,TARGET-30-PAIFXV-01,TH06_0628_S01,TARGET-30-PAIXIF-01,TARGET-30-PANSBN-01,TH06_0622_S01,TH40_2228_S01,TARGET-30-PAITEG-01,TARGET-30-PALCBW-01,TARGET-30-PAPKWN-01,TH40_2249_S01,TARGET-30-PASMJG-01,TARGET-30-PAPTAN-01,TARGET-30-PALKUC-01,THR31_0881_S01,TARGET-30-PANJLH-01,TH40_2262_S01,TARGET-30-PANKFE-01,TH40_2272_S01,TARGET-30-PALVKK-01,TH06_0284_S01,TH40_2235_S01,TARGET-30-PARKGJ-01,TARGET-30-PANXJL-01,TARGET-30-PAPZYZ-01,TARGET-30-PARZCJ-02,TARGET-30-PAPTCR-01,TH06_0628_S01,TARGET-30-PANSBN-01
hsa:09176,0.037444666,0.013688236,0.013299523,0.0018157645,0.0078857215,0.008110533,0.007892398,-0.032535594,0.02553698,0.0046575475,0.0048884326,0.0047136866,0.00423744,0.0026601143,0.0135940015,0.0023873057,0.0019985433,-0.0021472066,-0.0005108845,-0.003148785,-0.0018478755,-0.002735875,0.0061393334,-0.0012080115,-0.0014008963,-0.010807472,-0.010857889,-0.0101524675,-0.02189455,-0.022137834,-0.022367867
hsa:09156,0.031018332,0.022201963,0.02333983,0.056855276,0.035346247,0.035713892,0.035429414,-0.00020570507,-0.00019520662,0.074525476,0.06343356,0.044941347,0.0010106275,0.0016021698,0.00028945316,0.0015539543,0.0042673154,-0.0029348712,0.006208902,-0.072879076,-0.07576208,-0.07563,0.0126691405,0.019112695,0.034117956,0.008381989,0.008859664,0.008874204,0.035718072,0.035893038,0.035578437
hsa:09109,-0.0011706724,-0.00010893707,-0.00039382448,-0.0006424264,0.0005323916,0.00064492476,0.00026924588,0.00218352,0.008871512,0.0021025273,0.0029349944,-9.1862166e-05,0.008013165,0.005549327,0.002366559,0.0056273965,0.00060286233,0.0002844656,0.00043946994,0.010214096,0.009089345,0.009740505,0.0029657937,0.0014115947,0.002465055,-0.00034603308,-0.00023144216,-0.00028475694,-0.00039548925,-0.00030094606,-0.0006948501
hsa:09153,-0.010321767,0.011625607,-0.010692161,-0.060599882,0.0401266,0.040280364,0.040106423,0.0022766304,0.0019429908,-0.00012098753,0.00040568202,0.0011806979,-0.0007016523,0.001304518,0.0008164317,0.0013207963,-0.0030347633,-0.0032959215,0.007575682,-1.116615e-05,9.543088e-05,0.0001010556,0.019014202,0.021065101,-0.021404253,-0.0009940282,-0.00067842414,-0.0010855689,-0.023129763,-0.02324009,-0.023069821
hsa:09171,0.011279812,0.006517975,0.0063382536,0.0010055607,0.006048815,0.0061364733,0.006114859,0.02883231,-0.022552118,0.005304619,0.007273259,0.0008636706,0.005579875,0.0027353484,0.011712708,0.002872914,-0.0037438958,-0.0013008515,-0.000628837,-0.018518671,-0.012078802,-0.014752144,0.004913265,0.004631725,0.00074055936,-0.007405513,-0.007812337,-0.006839468,0.06694488,0.06684108,0.06713258
hsa:09143,0.11645934,0.090976804,0.08840895,0.012659793,0.017905338,0.017637508,0.018026188,0.05936708,0.0051057218,0.009711822,0.009302879,0.0029118038,-2.31593e-06,0.00539527,0.0043870276,0.0048355274,0.017269772,0.011675326,-0.0012563147,-0.02125543,-0.021762082,-0.021728894,1.785651e-05,3.9059483e-05,1.4186652e-05,0.046644345,0.0465441,0.045250867,0.00025313202,0.0002659994,0.00024329638
hsa:09144,-0.0002925311,-0.00050720293,-0.00049355766,0.0037991265,0.025325025,0.02539327,0.025375687,-0.043551452,-0.028081875,0.0097078625,0.008416828,0.0061521917,-2.7663127e-05,0.0012629501,0.0014755431,0.0012516332,0.02143249,0.011962624,0.016299643,-0.009413386,-0.009863315,-0.009586954,-0.00022863635,-0.00041382204,-0.0002168381,-0.0031723944,-0.003074524,-0.0029597136,0.0028467588,0.0028693776,0.00281856
hsa:09107,0.03601101,0.026120853,0.025455583,0.006904485,0.008911754,0.009269693,0.008546151,-0.0027448214,-0.0043138843,0.017210618,0.016181491,0.0080427,-0.13043237,0.13240892,0.08666234,0.10909736,0.04408316,0.028511714,0.0059668627,0.029092398,0.031497717,0.030829877,-0.0028936416,0.11404216,0.16739838,-0.001499334,-0.00084851356,-0.0012122487,0.013027024,0.0143699935,0.013135511
hsa:09165,0.0025546586,0.0039789206,0.0038774982,2.6142863e-05,-0.0013535024,-0.0006654434,-0.0019018393,-0.14989206,0.08590347,0.062428374,0.063793994,0.057554245,-0.03355717,0.010929901,-0.05146862,0.01195981,0.012868322,-0.004618576,-0.0022091581,0.046397638,0.029755453,0.030677695,-0.0048949383,0.01647336,0.012597183,0.049331322,0.050909426,0.04758365,0.034462336,0.034448855,0.034532074
hsa:09154,-0.02221636,0.061258167,0.06521206,0.010033716,0.006953369,0.0072949724,0.007624451,0.0006088984,0.00086176686,0.06785321,0.067709245,-0.06432605,0.0052414862,0.01835671,0.023699272,0.019238241,0.027398918,0.025665874,-0.044542074,0.07161948,0.07779256,0.07989839,0.01954837,0.0216948,0.01223802,0.096138254,0.08799459,0.103922166,0.087636694,0.08768122,0.08740605
hsa:09166,0.017929645,0.009494368,0.009233182,0.002413372,0.018746376,0.01888536,0.01910808,0.054439604,-0.06317662,0.06963888,0.074172914,0.06925722,-0.02162411,0.0057389704,-0.017565262,0.00538528,-0.008339173,-0.0029179992,-0.00049638114,0.013566431,0.015591163,0.018195836,0.0065959734,0.00041810493,0.0011928985,0.013243059,0.013974715,0.013065937,0.04081228,0.040934417,0.041011944
hsa:09155,0.029971339,0.01827989,0.017742623,0.018178396,0.021172753,0.020572163,0.021039372,-0.00042795824,-0.0014025458,0.023419738,0.03853622,0.014575855,0.0014352861,0.022986598,0.024478443,0.02204616,-0.0021621976,0.017772703,-0.027418956,0.010084447,0.010159756,0.010258141,0.004362902,0.005038135,-0.004372496,0.03637281,0.03682579,0.033679575,-0.018399151,-0.018579876,-0.018447557
hsa:09149,0.0011177149,0.00093065575,0.0010090427,0.019580623,0.010909756,0.011011365,0.010891056,-1.2636567e-05,-1.8569935e-05,0.0016837049,0.0015696944,0.0025619161,-0.0013164666,-0.0013857002,-0.002540748,-0.0015109723,0.0018763968,0.001101417,0.0026937341,-0.009324341,-0.009934218,-0.00999629,0.0016979538,0.002051103,0.006387868,-0.015851155,-0.016586447,-0.01712956,-0.015530027,-0.015605386,-0.0154789
hsa:09106,0.012440931,0.00530312,0.005223821,-0.011755447,0.011578884,0.012357948,0.011379878,0.027767,-0.035353415,0.0050546136,0.0064291786,0.004297764,-0.04306444,0.0074568577,-0.0003345953,0.024076214,-0.0080498345,0.03671533,0.05979692,0.006286804,0.0068012383,0.0065802564,0.045080535,0.038700245,-0.044674642,0.0030958108,-0.0008536235,0.003298305,0.0175603,0.018831242,0.017598307
hsa:09126,0.0172449,0.02462054,0.024095329,-0.0006480254,-0.00093463715,-0.000842043,-0.00093946466,0.00037535705,0.00051063317,-0.0036931252,-0.0036397756,-0.0032652295,0.003841197,0.0025531661,0.0040851785,0.004516078,0.0008143764,0.0007822339,0.0004484213,-0.0021537484,-0.0020757131,-0.0019793254,-8.6886546e-05,-0.00078456034,0.00042127242,0.00079690944,0.00080253644,0.00090296345,-2.5549045e-05,-2.1474392e-05,-3.2413394e-05
hsa:09164,0.0052177855,0.0021590858,0.0020981699,-1.4951327e-05,-0.00012377661,-0.0001284857,-0.0001233532,0.00031067067,0.0003732157,0.0030237692,0.003229169,0.0031164584,0.010348897,0.0024238455,0.010910576,0.0022681945,-0.0001275415,-2.4729152e-05,-2.7493155e-05,0.0018078353,0.0010060465,0.0016092969,-0.001623174,-0.00089748186,-0.0008258372,0.0012761421,0.0013234409,0.0012373708,-0.0016118888,-0.0015882287,-0.0015865185
hsa:09141,-0.03435882,0.025370954,0.024556033,-0.0017767465,-0.0019325245,-0.0019368425,-0.0020013824,0.017771468,0.0060763652,0.0019995705,0.0018027187,0.0018247464,-5.561813e-05,0.02750616,0.029867556,0.027153552,0.061760668,0.044985585,0.040500924,-0.004596438,-0.00481384,-0.004738927,-0.00017271616,-0.00030962814,-0.00016501894,0.013714541,0.0140703255,0.013765767,-0.0014950924,-0.0014846259,-0.0015099362
