Module,0.5_sum_abs,0.6_sum_abs,0.7_sum_abs,0.8_sum_abs,0.9_sum_abs,1_sum_abs,0.5_sum,0.6_sum,0.7_sum,0.8_sum,0.9_sum,1_sum,0.5_sum_ADRN,0.5_sum_MES,0.6_sum_ADRN,0.6_sum_MES,0.7_sum_ADRN,0.7_sum_MES,0.8_sum_ADRN,0.8_sum_MES,0.9_sum_ADRN,0.9_sum_MES,1_sum_ADRN,1_sum_MES,
hsa:05208_residual,0.007918687537312508,0.007918687537312508,0.007918687537312508,0.007518529426306486,0.007456434890627861,0.0,0.0064331404864788055,0.0064331404864788055,0.0064331404864788055,0.006381970830261707,0.006444064900279045,0.0,0.005216066259890795,0.0012170750414952636,0.005216066259890795,0.0012170750414952636,0.005216066259890795,0.0012170750414952636,0.005277060437947512,0.0011049106251448393,0.005277060437947512,0.0011670049279928207,0.0,0.0,
hsa:05203,0.1835065484046936,0.1835065484046936,0.1835065484046936,0.17445801198482513,0.1731213927268982,0.0,-0.08064989745616913,-0.08064989745616913,-0.08064989745616913,-0.07861395925283432,-0.07954983413219452,0.0,-0.10335973650217056,0.022709839046001434,-0.10335973650217056,0.022709839046001434,-0.10335973650217056,0.022709839046001434,-0.09908036142587662,0.020466387271881104,-0.09908036142587662,0.019530517980456352,0.0,0.0,
hsa:05203_residual,0.007918687537312508,0.007918687537312508,0.007918687537312508,0.007518529426306486,0.007456434890627861,0.0,0.0064331404864788055,0.0064331404864788055,0.0064331404864788055,0.006381970830261707,0.006444064900279045,0.0,0.005216066259890795,0.0012170750414952636,0.005216066259890795,0.0012170750414952636,0.005216066259890795,0.0012170750414952636,0.005277060437947512,0.0011049106251448393,0.005277060437947512,0.0011670049279928207,0.0,0.0,
hsa:05230,0.17427441477775574,0.17427441477775574,0.17427441477775574,0.16671834886074066,0.16557961702346802,0.0,-0.022361338138580322,-0.022361338138580322,-0.022361338138580322,-0.02177145704627037,-0.022098252549767494,0.0,-0.026395119726657867,0.0040337760001420975,-0.026395119726657867,0.0040337760001420975,-0.026395119726657867,0.0040337760001420975,-0.02459084242582321,0.0028193823527544737,-0.02459084242582321,0.0024925845209509134,0.0,0.0,
hsa:05230_residual,0.007918687537312508,0.007918687537312508,0.007918687537312508,0.007518529426306486,0.007456434890627861,0.0,0.0064331404864788055,0.0064331404864788055,0.0064331404864788055,0.006381970830261707,0.006444064900279045,0.0,0.005216066259890795,0.0012170750414952636,0.005216066259890795,0.0012170750414952636,0.005216066259890795,0.0012170750414952636,0.005277060437947512,0.0011049106251448393,0.005277060437947512,0.0011670049279928207,0.0,0.0,
hsa:05231,0.1292961984872818,0.1292961984872818,0.1292961984872818,0.12144677340984344,0.12044192850589752,0.0,0.08310528844594955,0.08310528844594955,0.08310528844594955,0.08141139149665833,0.08241624385118484,0.0,0.10614494979381561,-0.023039665073156357,0.10614494979381561,-0.023039665073156357,0.10614494979381561,-0.023039665073156357,0.10137329995632172,-0.019961904734373093,0.10137329995632172,-0.018957052379846573,0.0,0.0,
hsa:05231_residual,0.007918687537312508,0.007918687537312508,0.007918687537312508,0.007518529426306486,0.007456434890627861,0.0,0.0064331404864788055,0.0064331404864788055,0.0064331404864788055,0.006381970830261707,0.006444064900279045,0.0,0.005216066259890795,0.0012170750414952636,0.005216066259890795,0.0012170750414952636,0.005216066259890795,0.0012170750414952636,0.005277060437947512,0.0011049106251448393,0.005277060437947512,0.0011670049279928207,0.0,0.0,
hsa:05235,0.0870174840092659,0.0870174840092659,0.0870174840092659,0.08265586197376251,0.08207970857620239,0.0,0.04834738001227379,0.04834738001227379,0.04834738001227379,0.04748228192329407,0.048014674335718155,0.0,0.06374543905258179,-0.01539805717766285,0.06374543905258179,-0.01539805717766285,0.06374543905258179,-0.01539805717766285,0.0614507682621479,-0.013968483544886112,0.0614507682621479,-0.013436094857752323,0.0,0.0,
hsa:05235_residual,0.007918687537312508,0.007918687537312508,0.007918687537312508,0.007518529426306486,0.007456434890627861,0.0,0.0064331404864788055,0.0064331404864788055,0.0064331404864788055,0.006381970830261707,0.006444064900279045,0.0,0.005216066259890795,0.0012170750414952636,0.005216066259890795,0.0012170750414952636,0.005216066259890795,0.0012170750414952636,0.005277060437947512,0.0011049106251448393,0.005277060437947512,0.0011670049279928207,0.0,0.0,
hsa:05210,0.12912262976169586,0.12912262976169586,0.12912262976169586,0.12280509620904922,0.12027943134307861,0.0,-0.007479865103960037,-0.007479865103960037,-0.007479865103960037,-0.006840374320745468,-0.007606916129589081,0.0,-0.018346160650253296,0.010866296477615833,-0.018346160650253296,0.010866296477615833,-0.018346160650253296,0.010866296477615833,-0.017035149037837982,0.010194772854447365,-0.017035149037837982,0.009428230114281178,0.0,0.0,
hsa:05210_residual,0.00701997522264719,0.00701997522264719,0.00701997522264719,0.006792609114199877,0.006704225204885006,0.0,0.0062945932149887085,0.0062945932149887085,0.0062945932149887085,0.006248350255191326,0.006336732767522335,0.0,0.0047273188829422,0.0015672751469537616,0.0047273188829422,0.0015672751469537616,0.0047273188829422,0.0015672751469537616,0.004700613208115101,0.001547737279906869,0.004700613208115101,0.0016361199086531997,0.0,0.0,
hsa:05212,0.06277380138635635,0.06277380138635635,0.06277380138635635,0.059690676629543304,0.058428168296813965,0.0,0.011227100156247616,0.011227100156247616,0.011227100156247616,0.010941050946712494,0.011112000793218613,0.0,0.014613846316933632,-0.0033867466263473034,0.014613846316933632,-0.0033867466263473034,0.014613846316933632,-0.0033867466263473034,0.014312222599983215,-0.003371172584593296,0.014312222599983215,-0.0032002246007323265,0.0,0.0,
hsa:05212_residual,0.00701997522264719,0.00701997522264719,0.00701997522264719,0.006792609114199877,0.006704225204885006,0.0,0.0062945932149887085,0.0062945932149887085,0.0062945932149887085,0.006248350255191326,0.006336732767522335,0.0,0.0047273188829422,0.0015672751469537616,0.0047273188829422,0.0015672751469537616,0.0047273188829422,0.0015672751469537616,0.004700613208115101,0.001547737279906869,0.004700613208115101,0.0016361199086531997,0.0,0.0,
hsa:05225,0.092242032289505,0.092242032289505,0.092242032289505,0.08789572864770889,0.0861537829041481,0.0,-0.03509487584233284,-0.03509487584233284,-0.03509487584233284,-0.03382045775651932,-0.03535846993327141,0.0,-0.05845898762345314,0.023364106193184853,-0.05845898762345314,0.023364106193184853,-0.05845898762345314,0.023364106193184853,-0.05590875819325447,0.022088313475251198,-0.05590875819325447,0.020550299435853958,0.0,0.0,
hsa:05225_residual,0.00701997522264719,0.00701997522264719,0.00701997522264719,0.006792609114199877,0.006704225204885006,0.0,0.0062945932149887085,0.0062945932149887085,0.0062945932149887085,0.006248350255191326,0.006336732767522335,0.0,0.0047273188829422,0.0015672751469537616,0.0047273188829422,0.0015672751469537616,0.0047273188829422,0.0015672751469537616,0.004700613208115101,0.001547737279906869,0.004700613208115101,0.0016361199086531997,0.0,0.0,
hsa:05226,0.05900888890028,0.05900888890028,0.05900888890028,0.056196972727775574,0.05509175360202789,0.0,0.018711121752858162,0.018711121752858162,0.018711121752858162,0.018019048497080803,0.018867522478103638,0.0,0.031589411199092865,-0.012878287583589554,0.031589411199092865,-0.012878287583589554,0.031589411199092865,-0.012878287583589554,0.030186347663402557,-0.012167301028966904,0.030186347663402557,-0.01131882518529892,0.0,0.0,
